170216 190417.543|CONFIG|Thread-3|setFileHandlers|Now logging to /home/pc-65304/桌面/pc2/bin/logs directory.
170216 190417.543|INFO|Thread-3|info|
170216 190417.543|INFO|Thread-3|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.7.0_79 build 3850 Linux 3.13.0-24-generic (amd64) 
170216 190417.543|INFO|Thread-3|info|Login: team21 (aka team21)
170216 190417.543|INFO|Thread-3|startLog|Working directory is /home/pc-65304/桌面/pc2/bin
170216 190417.543|INFO|Thread-3|startLog|Process id is 2334@pc65304-BM1AF-BP1AF-BM6AF
170216 190417.543|INFO|Thread-3|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
170216 190417.560|INFO|Thread-3|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
170216 190417.693|INFO|Thread-3|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
170216 190417.694|INFO|Thread-3|info|handlePacket end Packet[LOGIN_SUCCESS] #134 SERVER0 @ site 1 -> TEAM21 @ site 1
170216 190417.694|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #134 SERVER0 @ site 1 -> TEAM21 @ site 1
170216 190553.114|INFO|Thread-4|info| receiveObject(S) start got Packet[CLOCK_STARTED] #143 SERVER0 @ site 1 -> SERVER0 @ site 0
170216 190553.115|INFO|Thread-4|dumpPacket|Packet CLOCK_STARTED (Seq #143 ) recieveObject
170216 190553.115|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default-5982225616393543329)
170216 190553.115|INFO|Thread-4|dumpPacket|    To: SERVER0 @ site 0
170216 190553.115|INFO|Thread-4|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170216 190553.116|INFO|Thread-4|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170216 190553.116|INFO|Thread-4|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1487243153608,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=7,WEEK_OF_MONTH=3,DAY_OF_MONTH=16,DAY_OF_YEAR=47,DAY_OF_WEEK=5,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=11,HOUR_OF_DAY=11,MINUTE=5,SECOND=53,MILLISECOND=608,ZONE_OFFSET=0,DST_OFFSET=0]
170216 190553.116|INFO|Thread-4|info|handlePacket start Packet[CLOCK_STARTED] #143 SERVER0 @ site 1 -> SERVER0 @ site 0
170216 190553.116|INFO|Thread-4|dumpPacket|Packet CLOCK_STARTED (Seq #143 ) handlePacket
170216 190553.116|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default-5982225616393543329)
170216 190553.116|INFO|Thread-4|dumpPacket|    To: SERVER0 @ site 0
170216 190553.117|INFO|Thread-4|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170216 190553.117|INFO|Thread-4|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170216 190553.117|INFO|Thread-4|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1487243153608,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=7,WEEK_OF_MONTH=3,DAY_OF_MONTH=16,DAY_OF_YEAR=47,DAY_OF_WEEK=5,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=11,HOUR_OF_DAY=11,MINUTE=5,SECOND=53,MILLISECOND=608,ZONE_OFFSET=0,DST_OFFSET=0]
170216 190553.117|INFO|Thread-4|info|Clock for site 1 started by ADMINISTRATOR1 @ site 1 elapsed 0:00:00
170216 190553.117|INFO|Thread-4|info| receiveObject(S) end   got Packet[CLOCK_STARTED] #143 SERVER0 @ site 1 -> SERVER0 @ site 0
170216 191117.527|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/dc/main.c
170216 191117.531|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM21 @ site 1 -> SERVER0 @ site 1
170216 191117.532|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM21 @ site 1 -> SERVER0 @ site 1
170216 191117.591|INFO|Thread-6|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #146 SERVER0 @ site 1 -> TEAM21 @ site 1
170216 191117.591|INFO|Thread-6|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #146 ) recieveObject
170216 191117.591|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default-5982225616393543329)
170216 191117.591|INFO|Thread-6|dumpPacket|    To: TEAM21 @ site 1
170216 191117.591|INFO|Thread-6|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1 QUEUED_FOR_COMPUTER_JUDGEMENT 5 min 324481ms from TEAM21 @ site 1 id Run-2699208776815080928 problem A--5986129796115654838 lang GNU C++--8869940188041354309
170216 191117.592|INFO|Thread-6|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #146 SERVER0 @ site 1 -> TEAM21 @ site 1
170216 191117.592|INFO|Thread-6|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #146 ) handlePacket
170216 191117.592|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default-5982225616393543329)
170216 191117.592|INFO|Thread-6|dumpPacket|    To: TEAM21 @ site 1
170216 191117.592|INFO|Thread-6|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1 QUEUED_FOR_COMPUTER_JUDGEMENT 5 min 324481ms from TEAM21 @ site 1 id Run-2699208776815080928 problem A--5986129796115654838 lang GNU C++--8869940188041354309
170216 191118.755|INFO|Thread-6|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #146 SERVER0 @ site 1 -> TEAM21 @ site 1
